example_id,agent,bytes
76d63226,vanilla,0
86f00804,vanilla,0
8e9d538c,vanilla,0
311778f1,vanilla,0
c19f7a0b,vanilla,0
4100d0a0,vanilla,0
29f2956b,vanilla,0
1faac195,vanilla,0
faba32e5,vanilla,0
f4f1d8a4,vanilla,0
c14c00dd,vanilla,0
36580ce8,vanilla,0
3d86fd0a,vanilla,0
a82c026e,vanilla,0
0862e8bf_abs,vanilla,0
15745da0_abs,vanilla,0
bc8a6e93_abs,vanilla,0
19b5f2b3_abs,vanilla,0
29f2956b_abs,vanilla,0
f4f1d8a4_abs,vanilla,0
0a995998,vanilla,0
6d550036,vanilla,0
gpt4_59c863d7,vanilla,0
b5ef892d,vanilla,0
e831120c,vanilla,0
3a704032,vanilla,0
gpt4_d84a3211,vanilla,0
aae3761f,vanilla,0
gpt4_f2262a51,vanilla,0
dd2973ad,vanilla,0
c4a1ceb8,vanilla,0
gpt4_a56e767c,vanilla,0
6cb6f249,vanilla,0
46a3abf7,vanilla,0
36b9f61e,vanilla,0
28dc39ac,vanilla,0
gpt4_2f8be40d,vanilla,0
2e6d26dc,vanilla,0
gpt4_15e38248,vanilla,0
88432d0a,vanilla,0
80ec1f4f,vanilla,0
d23cf73b,vanilla,0
gpt4_7fce9456,vanilla,0
d682f1a2,vanilla,0
7024f17c,vanilla,0
gpt4_5501fe77,vanilla,0
gpt4_2ba83207,vanilla,0
2318644b,vanilla,0
2ce6a0f2,vanilla,0
gpt4_d12ceb0e,vanilla,0
00ca467f,vanilla,0
b3c15d39,vanilla,0
gpt4_31ff4165,vanilla,0
eeda8a6d,vanilla,0
2788b940,vanilla,0
60bf93ed,vanilla,0
9d25d4e0,vanilla,0
129d1232,vanilla,0
60472f9c,vanilla,0
gpt4_194be4b3,vanilla,0
a9f6b44c,vanilla,0
d851d5ba,vanilla,0
5a7937c8,vanilla,0
gpt4_ab202e7f,vanilla,0
gpt4_e05b82a6,vanilla,0
gpt4_731e37d7,vanilla,0
edced276,vanilla,0
10d9b85a,vanilla,0
e3038f8c,vanilla,0
2b8f3739,vanilla,0
1a8a66a6,vanilla,0
c2ac3c61,vanilla,0
bf659f65,vanilla,0
gpt4_372c3eed,vanilla,0
gpt4_2f91af09,vanilla,0
81507db6,vanilla,0
88432d0a_abs,vanilla,0
80ec1f4f_abs,vanilla,0
eeda8a6d_abs,vanilla,0
60bf93ed_abs,vanilla,0
edced276_abs,vanilla,0
gpt4_372c3eed_abs,vanilla,0
8a2466db,vanilla,0
06878be2,vanilla,0
75832dbd,vanilla,0
0edc2aef,vanilla,0
35a27287,vanilla,0
32260d93,vanilla,0
195a1a1b,vanilla,0
afdc33df,vanilla,0
caf03d32,vanilla,0
54026fce,vanilla,0
06f04340,vanilla,0
6b7dfb22,vanilla,0
1a1907b4,vanilla,0
09d032c9,vanilla,0
38146c39,vanilla,0
d24813b1,vanilla,0
57f827a0,vanilla,0
95228167,vanilla,0
505af2f5,vanilla,0
75f70248,vanilla,0
d6233ab6,vanilla,0
1da05512,vanilla,0
fca70973,vanilla,0
b6025781,vanilla,0
a89d7624,vanilla,0
b0479f84,vanilla,0
1d4e3b97,vanilla,0
07b6f563,vanilla,0
1c0ddc50,vanilla,0
0a34ad58,vanilla,0
d3ab962e,vanilla,0
2311e44b,vanilla,0
cc06de0d,vanilla,0
a11281a2,vanilla,0
4f54b7c9,vanilla,0
85fa3a3f,vanilla,0
9aaed6a3,vanilla,0
1f2b8d4f,vanilla,0
e6041065,vanilla,0
51c32626,vanilla,0
d905b33f,vanilla,0
7405e8b1,vanilla,0
f35224e0,vanilla,0
6456829e,vanilla,0
a4996e51,vanilla,0
3c1045c8,vanilla,0
60036106,vanilla,0
681a1674,vanilla,0
e25c3b8d,vanilla,0
4adc0475,vanilla,0
4bc144e2,vanilla,0
ef66a6e5,vanilla,0
5025383b,vanilla,0
a1cc6108,vanilla,0
9ee3ecd6,vanilla,0
3fdac837,vanilla,0
91b15a6e,vanilla,0
27016adc,vanilla,0
720133ac,vanilla,0
77eafa52,vanilla,0
8979f9ec,vanilla,0
0100672e,vanilla,0
a96c20ee,vanilla,0
92a0aa75,vanilla,0
3fe836c9,vanilla,0
1c549ce4,vanilla,0
6c49646a,vanilla,0
1192316e,vanilla,0
0ea62687,vanilla,0
67e0d0f2,vanilla,0
bb7c3b45,vanilla,0
ba358f49,vanilla,0
61f8c8f8,vanilla,0
60159905,vanilla,0
ef9cf60a,vanilla,0
73d42213,vanilla,0
bc149d6b,vanilla,0
099778bb,vanilla,0
09ba9854,vanilla,0
d6062bb9,vanilla,0
157a136e,vanilla,0
c18a7dc8,vanilla,0
a3332713,vanilla,0
55241a1f,vanilla,0
a08a253f,vanilla,0
f0e564bc,vanilla,0
078150f1,vanilla,0
8cf4d046,vanilla,0
a346bb18,vanilla,0
37f165cf,vanilla,0
8e91e7d9,vanilla,0
87f22b4a,vanilla,0
e56a43b9,vanilla,0
efc3f7c2,vanilla,0
21d02d0d,vanilla,0
2311e44b_abs,vanilla,0
6456829e_abs,vanilla,0
e5ba910e_abs,vanilla,0
a96c20ee_abs,vanilla,0
ba358f49_abs,vanilla,0
09ba9854_abs,vanilla,0
gpt4_59149c77,vanilla,0
gpt4_f49edff3,vanilla,0
71017276,vanilla,0
b46e15ed,vanilla,0
gpt4_fa19884c,vanilla,0
0bc8ad92,vanilla,0
af082822,vanilla,0
gpt4_4929293a,vanilla,0
gpt4_b5700ca9,vanilla,0
9a707b81,vanilla,0
gpt4_1d4ab0c9,vanilla,0
gpt4_e072b769,vanilla,0
0db4c65d,vanilla,0
gpt4_1d80365e,vanilla,0
gpt4_7f6b06db,vanilla,0
gpt4_6dc9b45b,vanilla,0
gpt4_8279ba02,vanilla,0
gpt4_18c2b244,vanilla,0
gpt4_a1b77f9c,vanilla,0
gpt4_1916e0ea,vanilla,0
gpt4_7a0daae1,vanilla,0
gpt4_468eb063,vanilla,0
gpt4_7abb270c,vanilla,0
gpt4_1e4a8aeb,vanilla,0
gpt4_4fc4f797,vanilla,0
4dfccbf7,vanilla,0
gpt4_61e13b3c,vanilla,0
gpt4_45189cb4,vanilla,0
2ebe6c90,vanilla,0
gpt4_e061b84f,vanilla,0
370a8ff4,vanilla,0
gpt4_d6585ce8,vanilla,0
gpt4_4ef30696,vanilla,0
gpt4_ec93e27f,vanilla,0
6e984301,vanilla,0
8077ef71,vanilla,0
gpt4_f420262c,vanilla,0
gpt4_8e165409,vanilla,0
gpt4_74aed68e,vanilla,0
bcbe585f,vanilla,0
gpt4_21adecb5,vanilla,0
5e1b23de,vanilla,0
gpt4_98f46fc6,vanilla,0
gpt4_af6db32f,vanilla,0
eac54adc,vanilla,0
gpt4_7ddcf75f,vanilla,0
gpt4_a2d1d1f6,vanilla,0
gpt4_85da3956,vanilla,0
gpt4_b0863698,vanilla,0
gpt4_68e94287,vanilla,0
gpt4_e414231e,vanilla,0
gpt4_7ca326fa,vanilla,0
gpt4_7bc6cf22,vanilla,0
2ebe6c92,vanilla,0
gpt4_e061b84g,vanilla,0
71017277,vanilla,0
b46e15ee,vanilla,0
gpt4_d6585ce9,vanilla,0
gpt4_1e4a8aec,vanilla,0
gpt4_f420262d,vanilla,0
gpt4_59149c78,vanilla,0
gpt4_e414231f,vanilla,0
gpt4_4929293b,vanilla,0
gpt4_468eb064,vanilla,0
gpt4_fa19884d,vanilla,0
9a707b82,vanilla,0
eac54add,vanilla,0
4dfccbf8,vanilla,0
0bc8ad93,vanilla,0
6e984302,vanilla,0
gpt4_8279ba03,vanilla,0
gpt4_b5700ca0,vanilla,0
gpt4_68e94288,vanilla,0
gpt4_2655b836,vanilla,0
gpt4_2487a7cb,vanilla,0
gpt4_76048e76,vanilla,0
gpt4_2312f94c,vanilla,0
0bb5a684,vanilla,0
08f4fc43,vanilla,0
