agent,question_type,accuracy
vanilla,boolean,0.0
vanilla,contradictory_update,0.0
vanilla,correction,0.0
vanilla,goal,0.0
vanilla,multi_fact,0.0
vanilla,paraphrase,0.0
vanilla,repeated_fact,0.0
vanilla,response_style,0.0
vanilla,stable_fact,0.0
vanilla,temporal,0.0
window,boolean,0.0
window,contradictory_update,0.14285714285714285
window,correction,0.17857142857142858
window,goal,0.0
window,multi_fact,0.0
window,paraphrase,0.0
window,repeated_fact,0.10714285714285714
window,response_style,0.07407407407407407
window,stable_fact,0.0
window,temporal,0.0
rag,boolean,0.0
rag,contradictory_update,0.2857142857142857
rag,correction,0.5357142857142857
rag,goal,0.9629629629629629
rag,multi_fact,0.0
rag,paraphrase,0.8518518518518519
rag,repeated_fact,1.0
rag,response_style,0.8148148148148148
rag,stable_fact,1.0
rag,temporal,0.9259259259259259
pure_liquid,boolean,0.14285714285714285
pure_liquid,contradictory_update,0.0
pure_liquid,correction,0.0
pure_liquid,goal,0.0
pure_liquid,multi_fact,0.0
pure_liquid,paraphrase,0.0
pure_liquid,repeated_fact,0.0
pure_liquid,response_style,0.5925925925925926
pure_liquid,stable_fact,0.0
pure_liquid,temporal,0.0
lexical_only,boolean,0.0
lexical_only,contradictory_update,0.7142857142857143
lexical_only,correction,0.8214285714285714
lexical_only,goal,1.0
lexical_only,multi_fact,0.0
lexical_only,paraphrase,0.9259259259259259
lexical_only,repeated_fact,1.0
lexical_only,response_style,0.6296296296296297
lexical_only,stable_fact,1.0
lexical_only,temporal,0.9259259259259259
lalm,boolean,0.21428571428571427
lalm,contradictory_update,0.9642857142857143
lalm,correction,0.8571428571428571
lalm,goal,1.0
lalm,multi_fact,0.0
lalm,paraphrase,1.0
lalm,repeated_fact,1.0
lalm,response_style,0.6296296296296297
lalm,stable_fact,1.0
lalm,temporal,1.0
